DATE,PRICE,SPACE,CATEGORIES
2020-05-07,1580.00,92,"APARTMENT, FLAT"
2021-08-17,,,"RETAIL, STORAGE_ROOM"
2021-06-15,1710.00,72,"APARTMENT, FLAT"
2020-02-21,1160.00,58,"APARTMENT, FLAT"
2020-07-28,1650.00,94,"APARTMENT, FLAT"
2019-03-29,1216.00,70,APARTMENT
2020-12-10,1620.00,89,"APARTMENT, FLAT"
2018-04-05,1530.00,88,APARTMENT
2021-07-28,1210.00,63,"APARTMENT, FLAT"
2021-11-29,,,"RETAIL, SHOP"
2019-02-28,,,OFFICE
2021-11-16,1300.00,65,"APARTMENT, FLAT"
2021-08-20,1596.00,90,"APARTMENT, FLAT"
2020-11-28,1100.00,48,"APARTMENT, FLAT"
2018-04-27,1596.00,88,APARTMENT
2020-05-04,,,"APARTMENT, FLAT"
2021-07-05,,,"RETAIL, STORAGE_ROOM"
2019-03-26,1330.00,67,APARTMENT
2020-04-03,1800.00,76,"APARTMENT, FLAT"
2020-02-04,1385.00,85,"APARTMENT, FLAT"
2019-04-04,1640.00,88,APARTMENT
2018-09-26,1220.00,62,APARTMENT
2020-11-04,620.00,31,"APARTMENT, FLAT"
2019-06-11,1020.00,61,APARTMENT
2019-05-09,,135,DUPLEX
2021-11-08,1550.00,71,"APARTMENT, FLAT"
2020-11-19,,,OFFICE
2021-11-09,720.00,35,"APARTMENT, FLAT"
2018-10-16,650.00,25,APARTMENT
2019-08-23,120.00,,UNDERGROUND_SLOT
2021-04-22,160.00,,UNDERGROUND_SLOT
2019-03-20,,,UNDERGROUND_SLOT
2019-12-05,780.00,44,APARTMENT
2018-09-20,1640.00,68,ROOF_FLAT
2021-09-21,140.00,,UNDERGROUND_SLOT
2018-01-25,2000.00,94,APARTMENT
2019-08-28,1575.00,72,APARTMENT
2018-12-24,230.00,,UNDERGROUND_SLOT
2018-05-08,1070.00,62,APARTMENT
2021-08-19,990.00,47,"APARTMENT, FLAT"
2018-02-23,1310.00,75,APARTMENT
2019-02-02,150.00,,UNDERGROUND_SLOT
2021-05-06,1392.00,76,"APARTMENT, FLAT"
2018-12-07,1690.00,94,APARTMENT
2018-05-29,20.00,,COVERED_PARKING_PLACE_BIKE
2019-01-18,1650.00,92,APARTMENT
2021-05-25,1340.00,65,"APARTMENT, FLAT"
2020-03-30,225.00,,UNDERGROUND_SLOT
2020-08-22,2060.00,79,"APARTMENT, FLAT"
2020-10-27,,,OFFICE
2021-06-18,1530.00,62,"APARTMENT, FLAT"
2018-02-23,1450.00,78,APARTMENT
2018-05-16,160.00,,UNDERGROUND_SLOT
2020-06-25,125.00,,UNDERGROUND_SLOT
2021-06-24,1000.00,53,"APARTMENT, FLAT"
2020-06-08,1310.00,70,"APARTMENT, FLAT"
2019-04-05,2150.00,115,APARTMENT
2019-11-05,1580.00,88,APARTMENT
2019-09-05,130.00,,UNDERGROUND_SLOT
2020-05-04,2505.00,136,"APARTMENT, FLAT"
2020-03-10,1220.00,73,"APARTMENT, FLAT"
2021-04-26,1310.00,66,"APARTMENT, FLAT"
2020-10-30,2170.00,87,"APARTMENT, FLAT"
2019-10-14,1530.00,,APARTMENT
2021-02-03,200.00,,SINGLE_GARAGE
2020-04-16,2100.00,110,"APARTMENT, FLAT"
2019-11-04,1090.00,58,APARTMENT
2021-04-30,2300.00,89,"APARTMENT, FLAT"
2019-11-20,1350.00,63,APARTMENT
2018-07-06,,,OFFICE
2018-03-23,1250.00,65,APARTMENT
2018-06-27,3440.00,152,APARTMENT
2018-09-13,1670.00,93,APARTMENT
2019-11-21,2485.00,126,APARTMENT
2019-01-30,975.00,53,APARTMENT
2019-01-12,1255.00,70,APARTMENT
2019-10-15,1670.00,100,APARTMENT
2020-10-22,1845.00,82,"APARTMENT, FLAT"
2019-12-14,1360.00,88,APARTMENT
2020-09-15,1485.00,66,"APARTMENT, FLAT"
2018-07-28,1195.00,53,APARTMENT
2020-04-02,1550.00,84,"APARTMENT, FLAT"
2020-12-18,1480.00,71,"APARTMENT, FLAT"
2020-02-13,1755.00,81,"APARTMENT, FLAT"
2019-10-17,1485.00,89,APARTMENT
2018-10-02,1450.00,70,APARTMENT
2020-11-21,4238.00,,"RETAIL, SHOP"
